iter	MultiClassOneVsAll	F1:class=0	F1:class=1	F1:class=2	F1:class=3
0	-0.6804256781	0.7505917796	0.01331114809	0.2247332078	0.0596491228111	-0.6684691837	0.7618736383	0	0.1669128508	0.2182302062	2	-0.6573213839	0.7663407668	0.003378378378	0.1631153564	0.2506361323	3	-0.6471556606	0.7590595341	0.003378378378	0.1573033708	0.20153954	4	4	-0.6373219932	0.7577452668	0.003378378378	0.1405653175	-0.6281905755	-0.6276740919	0.7588216251	0	0.15063385536	-0.6192350076	-0.6187697643	0.7560130011	0	0.15406976747	-0.6108063307	-0.6103089446	0.7570204922	0	0.158	-0.6026162989	0.75798	-0.6021056282	0.7564171992	9	-0.594735988	0.75742735889	-0.5941936427	0.761987415910	-0.587229314	0.7588613807	10	-0.5866634935	0.75714748011	-0.5802882816	0.7569277766	11	-0.5798182712	0.7607282112	-0.5737725895	0.7559912854	012	-0.573242588	0.76030732613	-0.5674455514	0.756568189313	-0.5669186343	0.760121238414	-0.5614243027	0.756927776614	-0.5611443028	0.759433452315	-0.5558741304	0.755516904	15	-0.555472203	0.758881330316	-0.5501785415	0.755628058716	-0.5500527989	0.757024437517	-0.5449796102	0.755270593317	-0.5447423331	0.755178705618	-0.5398517926	0.75540584518	-0.5396725001	0.7556799828	19	-0.5351308423	0.75447542519	-0.5346721794	0.7561814664	20	-0.5306741796	0.7519565220	-0.5301077825	0.7556940266	021	-0.5263148347	0.7531199121	-0.5255436793	0.7561526061	022	-0.5222006418	0.7536704722	-0.5217629018	0.7539614561	023	-0.5184293911	0.7529053923	-0.5177911425	0.7547169811	24	-0.5145645912	0.7526905024	-0.5139479189	0.7556080283	025	-0.5106543281	0.7547087625	-0.5101922538	0.7561708521	026	-0.5070199985	0.7540590626	-0.5065017403	0.7574358424	027	-0.5037408597	0.7544701227	-0.5030254727	0.7583315416	028	-0.500575384	0.75400544928	-0.4997130373	0.7589103047	29	-0.4972206101	0.75767472229	-0.4964280911	0.7605572956	30	-0.494259029	0.757592249930	-0.4931856128	0.761226252231	-0.4912839644	0.757509795431	-0.4904286331	0.761719593932	-0.4884958699	0.75634462432	-0.4878216357	0.7617504052	33	-0.4857214203	0.7588760633	-0.4854796595	0.7615550756	034	-0.483288392	0.7581628234	-0.4829477472	0.7611746923	35	-0.4809218491	0.75799782335	-0.480541866	0.76180136	-0.4786582043	0.7574208981	0	036	-0.4779430547	0.76197637	-0.4762267011	0.7589431336	0	037	-0.4756096139	0.76321438	-0.474012883	0.7588760619	0	0.38	-0.4734114125	0.7637139	-0.4720834594	0.7589888865	0	0.39	-0.4712173226	0.7646440	-0.4702803482	0.7588235294	0	0.40	-0.4690907275	0.7646441	-0.4684941485	0.7588235294	0	0.41	-0.467173108	0.76422742	-0.4668102483	0.7587108014	0	042	-0.4654499274	0.76406143	-0.4647699006	0.7600087032	0	43	-0.4636444887	0.764973944	-0.463211728	0.7598129825	0	044	-0.4618337682	0.76514045	-0.4613921771	0.7606400348	0	045	-0.4603123602	0.7653046	-0.4598112548	0.7607749238	0	046	-0.4588004225	0.47	-0.4582767859	0.7603089979	0	0.2125947	-0.4572311426	0.48	-0.4568568407	0.7604744804	0	48	-0.4555893684	0.765019049	-0.4555357736	0.7604744804	0	49	-0.4541318989	0.766017650	-0.4540189824	0.7610850855	0	50	-0.4528275289	0.765800051	-0.4524734531	0.7620501636	0	51	-0.4512524087	0.766652152	-0.4511003845	0.7628708551	052	-0.4499899261	0.7666013453	-0.449776196	0.7634737072	0	53	-0.4487093671	0.766583154	-0.44842462	0.76408912154	-0.4473694272	0.7669860627	55	-0.4473789135	0.76389040555	-0.4462425154	0.767403856656	-0.446260032	0.7635887361	56	-0.4451334475	0.76740385657	-0.4450889248	0.7642045455	57	-0.444004967	0.767236684558	-0.4439080245	0.764153005558	-0.4429429255	0.767120304859	-0.4429266407	0.764339560859	-0.4419126577	0.767370943160	-0.4418803223	0.76484093160	-0.4409079782	0.7677053824	61	-0.4408978341	0.76525924361	-0.4400293925	0.7678727114	62	-0.4398906606	0.76529160762	-0.438959737	0.7678727114	063	-0.4387992215	0.765929463	-0.4383876802	0.7674545257	064	-0.4380023158	064	-0.4376443258	0.7676217453	0	0.2219215156	0.20144965	-065	-0.4367305064	0.7682913532	0	0.2247956403	0.2145922747
66	-0.4359500196	0.7682913532	0	0.2225255973	0.2169878658
67	-0.4351719995	0.7685761047	0	0.2281059063	0.2144388849
68	-0.434477679	0.7688277669	0	0.2298850575	0.2106017192
69	-0.4337772754	0.7689956332	0	0.2321187584	0.2107526882
70	-0.4330747798	0.7691635728	0	0.2345013477	0.2107526882
71	-0.4323829979	0.7693315858	0	0.2361673414	0.2144388849
72	-0.4316386727	0.7691467278	0	0.2357723577	0.2230113636
73	-0.4310348502	0.7692475702	0	0.233220339	0.2206405694
74	-0.4302873173	0.7693315858	0	0.2320217096	0.223169865
75	-0.4296776275	0.769583743	0	0.2347354138	0.2255319149
76	-0.4290023944	0.7694156199	0	0.2335369993	0.228530873
77	-0.428307186	0.7694493007	0	0.2318644068	0.229787234
78	-0.4277059112	0.770256971	0	0.2348178138	0.2269503546
79	-0.4269575387	0.770678337	0	0.2331536388	0.2264685067
80	-0.4262909769	0.7707968476	0	0.2355316285	0.228975265
81	-0.4256993362	0.7712189245	0	0.2386058981	0.2277227723
82	-0.4251292171	0.7713878848	0	0.2397856664	0.2275618375
83	-0.4244924943	0.7713878848	0	0.2401601067	0.2242725337
84	-0.424044218	0.7712189245	0	0.2428666224	0.2187276626
85	-0.4234829903	0.771556919	0	0.2437086093	0.2185714286
86	-0.4230207873	0.7713878848	0	0.2438701127	0.2187276626
87	-0.4225332934	0.7716414639	0	0.2461945731	0.2214285714
88	-0.4220361121	0.7717260274	0	0.2418604651	0.2245913291
89	-0.4217081373	0.771860618	0	0.2468312208	0.2266288952
90	-0.4212264147	0.7718952099	0	0.2451698867	0.2264685067
91	-0.4207720968	0.772503015	0	0.2466666667	0.2274011299
92	-0.4203262475	0.7722337976	0	0.2468312208	0.229739253
93	-0.4199144192	0.7725726824	0	0.2504996669	0.2308233638
94	-0.4195589826	0.7724380075	0	0.2491672219	0.2306610408
95	-0.419246131	0.7728270413	0	0.25	0.2308233638
96	-0.4189527697	0.7727921009	0	0.2491672219	0.2322308234
97	-0.4184566227	0.7727422364	0	0.2493333333	0.2345505618
98	-0.4179508753	0.7729118648	0	0.248835662	0.2333099086
99	-0.4176248224	0.7732015376	0	0.2553191489	0.2366946779
100	-0.417115028	0.7736263736	0	0.2571239231	0.2394957983
101	-0.4168030986	0.7735413691	0	0.2563081009	0.2391608392
102	-0.4164210882	0.7735911238	0	0.2572944297	0.2384291725
103	-0.4160367295	0.7732864675	0	0.2543275632	0.2389937107
104	-0.4157363316	0.7735413691	0	0.2533333333	0.2395543175
105	-0.4153959621	0.7737113969	0	0.2539893617	0.239888424
106	-0.4149226562	0.7737964388	0	0.2556591212	0.2379958246
107	-0.4146132493	0.7742715778	0	0.2572944297	0.2384937238
108	-0.4142265039	0.7740516767	0	0.2564784053	0.2393876131
109	-0.4139030581	0.7738814994	0	0.2521681121	0.238723109
110	-0.4133686344	0.7743922561	0	0.255489022	0.2383922384
111	-0.4130016115	0.774292946	0	0.255489022	0.2404975812
112	-0.4127682061	0.774548657	0	0.2571239231	0.2396121884
113	-0.4123969338	0.7748045369	0	0.256783587	0.2408304498
114	-0.4121427463	0.7751818382	0	0.2606978275	0.2382271468
115	-0.4117202444	0.7751818382	0	0.2614980289	0.2373351839
116	-0.4113900735	0.7756586925	0	0.2637795276	0.2399445215
117	-0.4111248661	0.7757442117	0	0.2643979058	0.2390548992
118	-0.4108981694	0.7758297497	0	0.2671905697	0.2414989591
119	-0.4106026306	0.7756947508	0	0.2666666667	0.2404447533
120	-0.4102118227	0.7762940073	0	0.2697068404	0.2414989591
121	-0.4099505624	0.7763796909	0.003378378378	0.2692810458	0.2434301521
122	-0.4096554302	0.7764653935	0.003378378378	0.2679738562	0.2432619212
123	-0.4093534091	0.776551115	0.003378378378	0.2696335079	0.244137931
124	-0.4090706663	0.776551115	0.003378378378	0.2711864407	0.2423822715
125	-0.4086980503	0.7767226148	0.003378378378	0.2729044834	0.2428868841
126	-0.4083476327	0.7765017668	0.003378378378	0.2716049383	0.2442748092
127	-0.4080257566	0.7769307259	0.003378378378	0.2723735409	0.2439362439
128	-0.4078025737	0.7773601592	0.003378378378	0.2727860375	0.2453222453
129	-0.4076143626	0.7774461028	0.003378378378	0.2724338283	0.2441054092
130	-0.4073780495	0.7774461028	0.003378378378	0.2751937984	0.2480942481
131	-0.4071560174	0.7774461028	0.003378378378	0.2751937984	0.2480942481
132	-0.4069641054	0.7776180471	0.003378378378	0.2764857881	0.2491349481
133	-0.4066752059	0.7776180471	0.003378378378	0.2781371281	0.2501727713
134	-0.4064636676	0.7777040478	0.003378378378	0.2775616083	0.2520661157
135	-0.4062073327	0.7777900675	0.003378378378	0.275862069	0.2524005487
136	-0.4060178088	0.7776180471	0.003378378378	0.2769830949	0.2501718213
137	-0.405786335	0.7777900675	0.003378378378	0.2786779002	0.2534435262
138	-0.4055496349	0.7777900675	0.006745362563	0.2807244502	0.2527624309
139	-0.4052860058	0.7781343366	0.003378378378	0.2801807618	0.2524137931
140	-0.4051282786	0.7783927385	0.003378378378	0.2835051546	0.2524137931
141	-0.4049698521	0.7786513121	0.003372681282	0.2818532819	0.2524137931
142	-0.4047847392	0.7784789107	0.003372681282	0.282763073	0.2546455609
143	-0.4045995862	0.7787375415	0.003372681282	0.2862669246	0.2558459422
144	-0.4044096485	0.7784789107	0.003372681282	0.2851612903	0.2561983471
145	-0.4042250694	0.7784789107	0.003372681282	0.2851612903	0.2561983471
146	-0.4039951428	0.77882379	0.006734006734	0.2851637765	0.2527624309
147	-0.4037152663	0.7789963443	0.01342281879	0.2871860914	0.2548209366
148	-0.4034429143	0.7792063844	0.0101010101	0.2882767457	0.2536181943
149	-0.4032608	0.7794655727	0.0101010101	0.2890025575	0.2508614748
150	-0.4030688476	0.7796384607	0.01344537815	0.2900958466	0.2522398346
151	-0.4028504143	0.7799844669	0.0101010101	0.2922782387	0.2544704264
152	-0.4025779924	0.7802929427	0.0101010101	0.2917197452	0.2520661157
153	-0.4023779835	0.7802820029	0.01342281879	0.2926208651	0.2518926359
154	-0.4020716087	0.780975664	0.01342281879	0.2972802024	0.2548209366
155	-0.4018614334	0.7810624583	0.01342281879	0.2972802024	0.2518926359
156	-0.4016368117	0.7810137839	0.01342281879	0.297979798	0.2520661157
157	-0.4014973547	0.78136121	0.01344537815	0.3033354311	0.2534435262
158	-0.4012647074	0.7812743245	0.01344537815	0.3004399749	0.2498274672
159	-0.4010647651	0.78136121	0.01344537815	0.3031446541	0.2522398346
160	-0.4008364843	0.7815350389	0.01344537815	0.3033354311	0.2544704264
161	-0.400671974	0.7820184711	0.01677852349	0.3048933501	0.2522398346
162	-0.4004344265	0.781882929	0.01677852349	0.3029541169	0.2556701031
163	-0.4001796947	0.7823182274	0.01677852349	0.30375	0.2508614748
164	-0.4000218671	0.7824053452	0.02006688963	0.3028785982	0.2506887052
165	-0.399725902	0.7824924825	0.02010050251	0.306441526	0.2532690984
166	-0.3995661877	0.7826668152	0.02006688963	0.3075	0.2532690984
167	-0.3994684326	0.7824827279	0.02006688963	0.3071161049	0.2544704264
168	-0.3992669635	0.782569932	0.02006688963	0.3071161049	0.2570446735
169	-0.3990340462	0.7823955432	0.02337228715	0.3047021944	0.2577107608
170	-0.3988315647	0.7826086957	0.02666666667	0.3036386449	0.2581967213
171	-0.3986597153	0.7828705253	0.02666666667	0.3053817272	0.2570061517
172	-0.3985211438	0.7830451757	0.02666666667	0.3075	0.2583732057
173	-0.3982677157	0.7833947104	0.02995008319	0.306441526	0.2617586912
174	-0.3981402789	0.7833947104	0.02995008319	0.306441526	0.2617586912
175	-0.3978933715	0.783530462	0.02995008319	0.3075	0.2580204778
176	-0.3977523034	0.7834821429	0.03	0.3085571518	0.2617586912
177	-0.397598723	0.7838320679	0.03	0.3102803738	0.2617586912
178	-0.3973823273	0.7839678464	0.03	0.313238036	0.2653898769
179	-0.3971434626	0.7843181057	0.03	0.3168316832	0.2673063742
180	-0.3970379052	0.784269914	0.03	0.3172839506	0.2649279341
181	-0.3969169472	0.7840464753	0.03	0.3183220234	0.2623626374
182	-0.396793411	0.7839588919	0.03	0.3187152563	0.2621825669
183	-0.3965704134	0.7847563701	0.03	0.3218249075	0.2674897119
184	-0.3963997038	0.7851073345	0.03	0.32	0.2659355723
185	-0.3961403318	0.7849714861	0.02995008319	0.3214285714	0.2684931507
186	-0.3958637746	0.7850592709	0.02995008319	0.3232944069	0.2702331962
187	-0.3957697933	0.785322743	0.02995008319	0.3249540159	0.2690459849
188	-0.3954519719	0.7855383927	0.03322259136	0.3229357798	0.2663006177
189	-0.3952870177	0.7855383927	0.03322259136	0.3223039216	0.2684931507
190	-0.3950834265	0.7856743145	0.03322259136	0.3220651506	0.2718579235
191	-0.3948302269	0.7858022618	0.03322259136	0.3234932349	0.2722940776
192	-0.3945834135	0.7861945316	0.03322259136	0.3274064991	0.2732834806
193	-0.3944375588	0.7865949339	0.03322259136	0.3333333333	0.2742155525
194	-0.3942717709	0.786811708	0.03322259136	0.3333333333	0.2744027304
195	-0.3940833524	0.7868999551	0.03322259136	0.3331306991	0.2730375427
196	-0.3938276545	0.7872053872	0.03322259136	0.3341433779	0.2761904762
197	-0.3937032127	0.7873343813	0.03322259136	0.3343428225	0.2750170184
198	-0.3935097551	0.7873821284	0.03322259136	0.3343465046	0.2797012899
199	-0.3933135099	0.7874705288	0.03322259136	0.337993921	0.2822252374
200	-0.3931706356	0.78768816	0.03648424544	0.3353584447	0.2830060934
201	-0.3930472746	0.78768816	0.03973509934	0.3363802559	0.2835921675
202	-0.3929080951	0.78768816	0.03973509934	0.3384053561	0.2839756592
203	-0.3926595241	0.7876404494	0.03973509934	0.3377885784	0.2855209743
204	-0.3924216034	0.7878174871	0.03973509934	0.3377885784	0.2864864865
205	-0.3922201992	0.7878583474	0.03973509934	0.3396226415	0.2907133244
206	-0.3920413129	0.7879878529	0.03973509934	0.3381995134	0.2887844191
207	-0.3919234041	0.7881241565	0.03966942149	0.3386114495	0.2901276024
208	-0.391791813	0.7882127995	0.03973509934	0.3408126137	0.2884097035
209	-0.3916685071	0.7884788479	0.03642384106	0.3428225318	0.2882154882
210	-0.3916101255	0.7884312402	0.03642384106	0.3422007255	0.2884097035
211	-0.3914381798	0.788383611	0.03966942149	0.3432024169	0.2870619946
212	-0.3913207338	0.7885135135	0.04290429043	0.3427881714	0.2895622896
213	-0.391118625	0.7884247269	0.04290429043	0.3426150121	0.2901276024
214	-0.3909850931	0.7887799932	0.03966942149	0.3462002413	0.2903225806
215	-0.3908047345	0.7890466531	0.04290429043	0.3491872366	0.291862811
216	-0.3906379934	0.7887323944	0.04290429043	0.3469879518	0.291862811
217	-0.3904883971	0.7893549842	0.04290429043	0.348767288	0.2951039571
218	-0.3903397246	0.7894440059	0.04290429043	0.348767288	0.2975871314
219	-0.3901428338	0.7895330476	0.04612850082	0.3503913305	0.297188755
220	-0.3899838218	0.7896221094	0.05254515599	0.3510253317	0.300802139
221	-0.3898311735	0.7896221094	0.05254515599	0.3512371756	0.3019372077
222	-0.389707513	0.7895330476	0.05245901639	0.3494558646	0.300400534
223	-0.389492669	0.7899785577	0.05245901639	0.3508137432	0.300400534
224	-0.3893076653	0.7900203206	0.05882352941	0.3506024096	0.3017356475
225	-0.3891881898	0.7901987353	0.05882352941	0.3540036123	0.3028685791
226	-0.389025569	0.7904665085	0.05564648118	0.3555555556	0.3042028019
227	-0.3889323136	0.7902879729	0.05882352941	0.3537906137	0.3042028019
228	-0.3888331794	0.7907817442	0.06199021207	0.3570566948	0.3056478405
229	-0.3886311898	0.7910498361	0.06199021207	0.3570566948	0.3076923077
230	-0.3884989045	0.7910025998	0.05882352941	0.356065178	0.3121693122
231	-0.3884121169	0.7914075749	0.06199021207	0.3598074609	0.3129973475
232	-0.3882657821	0.7912286651	0.06188925081	0.3607937462	0.3111702128
233	-0.3881515703	0.7913181099	0.06188925081	0.3610108303	0.3094289509
234	-0.3879034779	0.7914075749	0.05882352941	0.3607937462	0.3103448276
235	-0.3877564649	0.7914075749	0.05882352941	0.3617788462	0.3105507631
236	-0.3875498264	0.7916760914	0.05882352941	0.3586040915	0.3082010582
237	-0.3874229361	0.792124024	0.06199021207	0.3607937462	0.3102310231
238	-0.3872993052	0.7922136713	0.05882352941	0.3607937462	0.3150955834
239	-0.3871406445	0.792124024	0.06199021207	0.3616636528	0.314680711
240	-0.3870110277	0.792303339	0.06199021207	0.3641826923	0.3139841689
241	-0.3869480173	0.7922136713	0.06199021207	0.3631990379	0.3139841689
242	-0.3868161035	0.7923930269	0.05872756933	0.3633093525	0.3132848645
243	-0.386682786	0.792303339	0.05872756933	0.3610108303	0.3148880105
244	-0.3864815087	0.792303339	0.05882352941	0.3636363636	0.3144736842
245	-0.3863539405	0.7923930269	0.05882352941	0.3655006031	0.3162729659
246	-0.3862375168	0.792303339	0.05882352941	0.3647342995	0.3186885246
247	-0.3861218265	0.7924827352	0.05882352941	0.3657211829	0.3224115334
248	-0.3859861526	0.7926622127	0.05882352941	0.3674698795	0.3213114754
249	-0.3857587205	0.7928417714	0.05872756933	0.3674698795	0.3237221494
250	-0.3856159866	0.7929315813	0.05872756933	0.3694344164	0.3252459016
251	-0.3855094539	0.7929315813	0.05872756933	0.3694344164	0.3252459016
252	-0.3853600398	0.7932910245	0.05872756933	0.3701923077	0.326129666
253	-0.3852527491	0.7932441623	0.05872756933	0.36996997	0.3259162304
254	-0.3850794866	0.7935103245	0.06178861789	0.3698384201	0.3272251309
255	-0.384927867	0.7934203063	0.06178861789	0.368641532	0.3287491814
256	-0.3848547386	0.7936003631	0.06504065041	0.3715651135	0.3276539974
257	-0.3847382716	0.7937372362	0.06504065041	0.3718712753	0.3234714004
258	-0.3846219539	0.7938706016	0.06188925081	0.3744782349	0.3274394237
259	-0.3842969463	0.7941877625	0.06188925081	0.3738095238	0.326557377
260	-0.3841904081	0.794548552	0.06188925081	0.3738095238	0.3296272073
261	-0.3839894935	0.7948193592	0.06188925081	0.3772915435	0.328731098
262	-0.3838403903	0.7950437649	0.06504065041	0.3796570077	0.3331147541
263	-0.3837531705	0.7949533985	0.06504065041	0.3789224393	0.3328964613
264	-0.3836330555	0.7949533985	0.06504065041	0.3752969121	0.3331156107
265	-0.3835537887	0.7947727273	0.06504065041	0.3755199049	0.3346405229
266	-0.3833863217	0.7951341519	0.06504065041	0.3793716657	0.3294117647
267	-0.3832591818	0.7952245594	0.06504065041	0.3795359905	0.3344176968
268	-0.3831148767	0.7951341519	0.06504065041	0.3790849673	0.3311603651
269	-0.382989592	0.7951341519	0.06504065041	0.3781212842	0.3309446254
270	-0.3829215631	0.7952245594	0.06493506494	0.377672209	0.3313763862
271	-0.3828500124	0.7952245594	0.06493506494	0.377672209	0.3313763862
272	-0.3826736217	0.7954519613	0.0680713128	0.3797619048	0.3333333333
273	-0.3824987495	0.7958139006	0.0680713128	0.3788598575	0.3359375
274	-0.3823732136	0.7959044369	0.0680713128	0.3807829181	0.3348534202
275	-0.3822332673	0.7959949937	0.06493506494	0.3810089021	0.3368010403
276	-0.3821271539	0.7957674366	0.06493506494	0.3800475059	0.3378817414
277	-0.3820725899	0.7958579882	0.06493506494	0.3812351544	0.338961039
278	-0.3819962517	0.7960855712	0.06493506494	0.3824228029	0.338961039
279	-0.3818641284	0.7959044369	0.06493506494	0.3802733214	0.3378817414
280	-0.3817149405	0.7958579882	0.0680713128	0.382928275	0.3346354167
281	-0.3815905436	0.7956769056	0.07108239095	0.3810089021	0.333767927
282	-0.3814444047	0.7959485604	0.07419354839	0.3816884661	0.3391812865
283	-0.3813199589	0.7959485604	0.06796116505	0.3812351544	0.3365821962
284	-0.3811450997	0.7965831435	0.07419354839	0.384341637	0.3372243839
285	-0.3809826785	0.7964924268	0.07729468599	0.3847980998	0.3385214008
286	-0.3808868953	0.7964924268	0.07729468599	0.3855278766	0.338961039
287	-0.3807531013	0.7964924268	0.07419354839	0.3841138115	0.3376623377
288	-0.3806335341	0.7966738809	0.0834670947	0.3864848844	0.3391812865
289	-0.3805134505	0.7966738809	0.0834670947	0.3847980998	0.3385214008
290	-0.3803932868	0.7966738809	0.0834670947	0.3857566766	0.3374432187
291	-0.3802512747	0.7967646389	0.08653846154	0.3845697329	0.3387410772
292	-0.3801185859	0.7968554176	0.0834670947	0.3845697329	0.3408943616
293	-0.3800381547	0.7968554176	0.0834670947	0.3857566766	0.3421905379
294	-0.3799203178	0.7972187393	0.0834670947	0.3883955003	0.3434867142
295	-0.3797358072	0.7974914481	0.08038585209	0.3919716647	0.3450064851
296	-0.3795891719	0.7972187393	0.07729468599	0.3907637655	0.3443365696
297	-0.379445291	0.7974005245	0.0834670947	0.3902728351	0.3488372093
298	-0.3792334175	0.7980835044	0.08038585209	0.3945658594	0.3516483516
299	-0.3791041496	0.7979463776	0.08038585209	0.3928994083	0.3494519665
300	-0.3789631492	0.798173516	0.08333333333	0.3924125667	0.3545279383
301	-0.3788210885	0.7982646421	0.0864	0.3940652819	0.3553559974
302	-0.3786943018	0.7984929787	0.0864	0.3952522255	0.3566388711
303	-0.3785033862	0.7982646421	0.0864	0.3933452169	0.3574631646
304	-0.3783601708	0.7980824107	0.08653846154	0.3916913947	0.3581514763
305	-0.3782525745	0.7982646421	0.08653846154	0.393831554	0.3579217447
306	-0.3780781335	0.7984009138	0.0864	0.394549763	0.3602564103
307	-0.377932653	0.7986745887	0.08945686901	0.3957471943	0.3609505459
308	-0.3778400143	0.7987658553	0.0864	0.3959810875	0.3628205128
